IE_XML_ID;IE_NAME;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_CODE;IE_DETAIL_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IP_PROP71;IP_PROP72;IP_PROP73;IP_PROP74;IP_PROP265;IP_PROP61;IP_PROP79;IP_PROP330;IP_PROP350;IP_PROP333;IP_PROP336;IP_PROP337;IP_PROP352;IP_PROP355;IP_PROP340;IP_PROP345;IP_PROP341;IP_PROP342;IP_PROP343;IP_PROP344;IP_PROP353;IP_PROP351;CV_PRICE_1;CV_CURRENCY_1
3894;Стеллаж производственный СТПП-С-12/6 (1200х600х1800);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/stellazhi-proizvodstvennye-perforirovannye-polki.png;;html;stellazh-proizvodstvennyj-stpp-s-12-6-1200x600x1800;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/stellazhi-proizvodstvennye-perforirovannye-polki.png;Стеллаж производственный;1800;600;1200;ООО «АССУМ»;Россия;296;4;разборная;80;уголок 40х40 (оцинковая сталь. 1.5 мм);35;опора-болт;с перфорацией;перфорированный;1220;0.16;620;41.5;210;40.5;;;17 020;RUB
3895;Стеллаж производственный СТПП-С-15/4 (1500х400х1800);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/stellazhi-proizvodstvennye-perforirovannye-polki.png;;html;stellazh-proizvodstvennyj-stpp-s-15-4-1500x400x1800;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/stellazhi-proizvodstvennye-perforirovannye-polki.png;Стеллаж производственный;1800;400;1500;ООО «АССУМ»;Россия;296;4;разборная;80;уголок 40х40 (оцинковая сталь. 1.5 мм);35;опора-болт;с перфорацией;перфорированный;1520;0.13;420;39.2;210;38.2;;;14 809;RUB
3896;Стеллаж производственный СТПП-С-15/5 (1500х500х1800);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/stellazhi-proizvodstvennye-perforirovannye-polki.png;;html;stellazh-proizvodstvennyj-stpp-s-15-5-1500x500x1800;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/stellazhi-proizvodstvennye-perforirovannye-polki.png;Стеллаж производственный;1800;500;1500;ООО «АССУМ»;Россия;296;4;разборная;80;уголок 40х40 (оцинковая сталь. 1.5 мм);35;опора-болт;с перфорацией;перфорированный;1520;0.17;520;44.4;210;43.4;;;16 034;RUB
3897;Стеллаж производственный СТПП-С-15/6 (1500х600х1800);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/stellazhi-proizvodstvennye-perforirovannye-polki.png;;html;stellazh-proizvodstvennyj-stpp-s-15-6-1500x600x1800;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/stellazhi-proizvodstvennye-perforirovannye-polki.png;Стеллаж производственный;1800;600;1500;ООО «АССУМ»;Россия;296;4;разборная;80;уголок 40х40 (оцинковая сталь. 1.5 мм);35;опора-болт;с перфорацией;перфорированный;1520;0.2;620;50;210;48.2;;;19 202;RUB
3898;Стеллаж производственный СТПП-С-18/4 (1800х400х1800);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/stellazhi-proizvodstvennye-perforirovannye-polki.png;;html;stellazh-proizvodstvennyj-stpp-s-18-4-1800x400x1800;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/stellazhi-proizvodstvennye-perforirovannye-polki.png;Стеллаж производственный;1800;400;1800;ООО «АССУМ»;Россия;296;4;разборная;35;уголок 40х40 (оцинковая сталь. 1.5 мм);35;опора-болт;с перфорацией;перфорированный;1820;0.16;420;39.2;210;38.2;;;16 795;RUB
3899;Стеллаж производственный СТПП-С-18/5 (1800х500х1800);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/stellazhi-proizvodstvennye-perforirovannye-polki.png;;html;stellazh-proizvodstvennyj-stpp-s-18-5-1800x500x1800;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/stellazhi-proizvodstvennye-perforirovannye-polki.png;Стеллаж производственный;1800;500;1800;ООО «АССУМ»;Россия;296;4;разборная;80;уголок 40х40 (оцинковая сталь. 1.5 мм);35;опора-болт;с перфорацией;перфорированный;1820;0.2;520;44.4;210;43.4;;;18 238;RUB
3900;Стеллаж производственный СТПП-С-18/6 (1800х600х1800);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/stellazhi-proizvodstvennye-perforirovannye-polki.png;;html;stellazh-proizvodstvennyj-stpp-s-18-6-1800x600x1800;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/stellazhi-proizvodstvennye-perforirovannye-polki.png;Стеллаж производственный;1800;600;1800;ООО «АССУМ»;Россия;296;4;разборная;80;уголок 40х40 (оцинковая сталь. 1.5 мм);35;опора-болт;с перфорацией;перфорированный;1820;0.24;620;49.4;210;48.4;;;21 509;RUB
3901;Стеллаж производственный СТПП-С-6/4 (600х400х1800);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/stellazhi-proizvodstvennye-perforirovannye-polki.png;;html;stellazh-proizvodstvennyj-stpp-s-6-4-600x400x1800;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/stellazhi-proizvodstvennye-perforirovannye-polki.png;Стеллаж производственный;1800;400;600;ООО «АССУМ»;Россия;296;4;разборная;80;уголок 40х40 (оцинковая сталь. 1.5 мм);35;опора-болт;с перфорацией;перфорированный;620;0.05;420;23;210;22;;;8 888;RUB
3902;Стеллаж производственный СТПП-С-6/5 (600х500х1800);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/stellazhi-proizvodstvennye-perforirovannye-polki.png;;html;stellazh-proizvodstvennyj-stpp-s-6-5-600x500x1800;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/stellazhi-proizvodstvennye-perforirovannye-polki.png;Стеллаж производственный;1800;500;600;ООО «АССУМ»;Россия;296;4;разборная;80;уголок 40х40 (оцинковая сталь. 1.5 мм);35;опора-болт;с перфорацией;перфорированный;620;;520;24;210;23;;;9 458;RUB
3903;Стеллаж производственный СТПП-С-6/6 (600х600х1800);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/stellazhi-proizvodstvennye-perforirovannye-polki.png;;html;stellazh-proizvodstvennyj-stpp-s-6-6-600x600x1800;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/stellazhi-proizvodstvennye-perforirovannye-polki.png;Стеллаж производственный;1800;600;600;ООО «АССУМ»;Россия;296;4;разборная;80;уголок 40х40 (оцинковая сталь. 1.5 мм);35;опора-болт;с перфорацией;перфорированный;620;0.08;620;25.2;210;24.4;;;12 362;RUB
