IE_XML_ID;IE_NAME;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_CODE;IE_DETAIL_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IP_PROP71;IP_PROP72;IP_PROP73;IP_PROP74;IP_PROP265;IP_PROP61;IP_PROP346;IP_PROP330;IP_PROP332;IP_PROP333;IP_PROP351;IP_PROP353;IP_PROP79;IP_PROP352;IP_PROP347;IP_PROP354;IP_PROP331;IP_PROP335;CV_PRICE_1;CV_CURRENCY_1
3957;Стол производственный СП-С-13/7 (1300х700х850);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/01-4.png;;html;stol-proizvodstvennyj-sp-s-13-7-1300x700x850;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/01-4.png;Стол производственный “ASSUM-Standart” с полкой-решеткой из нержавеющей стали, без борта. Серия 700.;850;700;1300;ООО «АССУМ»;Россия;296;нержавеющая сталь (AISI 430. 1 мм);разборная;нет;уголок 40х40 (оцинковая сталь. 1.5 мм);ламинированная ДСП (16 мм);;;;;;;;7 053;RUB
3958;Стол производственный СП-С-14/7 (1400х700х850);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/01-4.png;;html;stol-proizvodstvennyj-sp-s-14-7-1400x700x850;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/01-4.png;Стол производственный “ASSUM-Standart” с полкой-решеткой из нержавеющей стали, без борта. Серия 700.;850;700;1400;ООО «АССУМ»;Россия;296;нержавеющая сталь (AISI 430. 1 мм);разборная;нет;уголок 40х40 (оцинковая сталь. 1.5 мм);ламинированная ДСП (16 мм);;;;;;;;7 577;RUB
3959;Стол производственный СП-С-15/7 (1500х700х850);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/01-4.png;;html;stol-proizvodstvennyj-sp-s-15-7-1500x700x850;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/01-4.png;Стол производственный “ASSUM-Standart” с полкой-решеткой из нержавеющей стали, без борта. Серия 700.;850;700;1500;ООО «АССУМ»;Россия;296;нержавеющая сталь (AISI 430. 1 мм);разборная;нет;уголок 40х40 (оцинковая сталь. 1.5 мм);ламинированная ДСП (16 мм);;;;;;;;7 776;RUB
3960;Стол производственный СП-С-16/7 (1600х700х850);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/01-4.png;;html;stol-proizvodstvennyj-sp-s-16-7-1600x700x850;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/01-4.png;Стол производственный “ASSUM-Standart” с полкой-решеткой из нержавеющей стали, без борта. Серия 700.;850;700;1600;ООО «АССУМ»;Россия;296;нержавеющая сталь (AISI 430. 1 мм);разборная;нет;уголок 40х40 (оцинковая сталь. 1.5 мм);ламинированная ДСП (16 мм);;;;;;;;8 168;RUB
3961;Стол производственный СП-С-17/7 (1700х700х850);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/01-4.png;;html;stol-proizvodstvennyj-sp-s-17-7-1700x700x850;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/01-4.png;Стол производственный “ASSUM-Standart” с полкой-решеткой из нержавеющей стали, без борта. Серия 700.;850;700;1700;ООО «АССУМ»;Россия;296;нержавеющая сталь (AISI 430. 1 мм);разборная;нет;уголок 40х40 (оцинковая сталь. 1.5 мм);ламинированная ДСП (16 мм);;;;;;;;8 602;RUB
3962;Стол производственный СП-С-18/7 (1800х700х850);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/01-4.png;;html;stol-proizvodstvennyj-sp-s-18-7-1800x700x850;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/01-4.png;Стол производственный “ASSUM-Standart” с полкой-решеткой из нержавеющей стали, без борта. Серия 700.;850;700;1800;ООО «АССУМ»;Россия;296;нержавеющая сталь (AISI 430. 1 мм);разборная;нет;уголок 40х40 (оцинковая сталь. 1.5 мм);ламинированная ДСП (16 мм);;;;;;;;8 858;RUB
3963;Стол производственный СП-С-6/8 (600х800х850);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/01-4.png;;html;stol-proizvodstvennyj-sp-s-6-8-600x800x850;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/01-4.png;Стол производственный “ASSUM-Standart” с полкой-решеткой из нержавеющей стали, без борта. Серия 800.;850;800;600;ООО «АССУМ»;Россия;296;нержавеющая сталь (AISI 430. 1 мм);разборная;нет;уголок 40х40 (оцинковая сталь. 1.5 мм);ламинированная ДСП (16 мм);;;;;;;;5 185;RUB
3964;Стол производственный СП-С-7/8 (700х800х850);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/01-4.png;;html;stol-proizvodstvennyj-sp-s-7-8-700x800x850;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/01-4.png;Стол производственный “ASSUM-Standart” с полкой-решеткой из нержавеющей стали, без борта. Серия 800.;850;800;700;ООО «АССУМ»;Россия;296;нержавеющая сталь (AISI 430. 1 мм);разборная;нет;уголок 40х40 (оцинковая сталь. 1.5 мм);ламинированная ДСП (16 мм);;;;;;;;5 530;RUB
3965;Стол производственный СП-С-8/8 (800х800х850);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/01-4.png;;html;stol-proizvodstvennyj-sp-s-8-8-800x800x850;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/01-4.png;Стол производственный “ASSUM-Standart” с полкой-решеткой из нержавеющей стали, без борта. Серия 800.;850;800;800;ООО «АССУМ»;Россия;296;нержавеющая сталь (AISI 430. 1 мм);разборная;нет;уголок 40х40 (оцинковая сталь. 1.5 мм);ламинированная ДСП (16 мм);;;;;;;;6 066;RUB
3966;Стол производственный СП-С-9/8 (900х800х850);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/01-4.png;;html;stol-proizvodstvennyj-sp-s-9-8-900x800x850;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/01-4.png;Стол производственный “ASSUM-Standart” с полкой-решеткой из нержавеющей стали, без борта. Серия 800.;850;800;900;ООО «АССУМ»;Россия;296;нержавеющая сталь (AISI 430. 1 мм);разборная;нет;уголок 40х40 (оцинковая сталь. 1.5 мм);ламинированная ДСП (16 мм);;;;;;;;6 469;RUB
