IE_XML_ID;IE_NAME;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_CODE;IE_DETAIL_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IP_PROP71;IP_PROP72;IP_PROP73;IP_PROP74;IP_PROP265;IP_PROP61;IP_PROP330;IP_PROP331;IP_PROP332;IP_PROP333;IP_PROP334;IP_PROP335;IP_PROP339;IP_PROP336;IP_PROP337;IP_PROP340;IP_PROP341;IP_PROP342;IP_PROP343;IP_PROP338;IP_PROP344;IP_PROP345;IP_PROP346;IP_PROP347;IP_PROP348;IP_PROP349;CV_PRICE_1;CV_CURRENCY_1
3752;Ванна моечная ВМС-П-1/500 (600х600х850);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/01.png;;html;vanna-moechnaya-vms-p-1-500-600x600x850;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/01.png;Ванна моечная со сварной раковиной 500х500х300 мм. Каркас выполнен из нержавеющей стали.;850;600;600;ООО «АССУМ»;Россия;296;;;;;;;;;;;;;;;;;;;;;9 621;RUB
3753;Ванна моечная ВМС-П-1/600 (700х700х850);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/01.png;;html;vanna-moechnaya-vms-p-1-600-700x700x850;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/01.png;Ванна моечная со сварной раковиной 600х600х400 мм. Каркас выполнен из нержавеющей стали.;850;700;700;ООО «АССУМ»;Россия;296;;;;;;;;;;;;;;;;;;;;;11 771;RUB
3754;Ванна моечная ВМС-П-1/700 (800х800х850);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/01.png;;html;vanna-moechnaya-vms-p-1-700-800x800x850;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/01.png;Ванна моечная со сварной раковиной 700х700х450 мм. Каркас выполнен из нержавеющей стали.;850;800;800;ООО «АССУМ»;Россия;296;;;;;;;;;;;;;;;;;;;;;15 504;RUB
3756;Ванна моечная ВМС-П-2/400 (1000х500х850);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/02.png;;html;vanna-moechnaya-vms-p-2-400-1000x500x850;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/02.png;Ванна моечная со сварными раковинами 400х400х300 мм. Каркас выполнен из нержавеющей стали.;850;500;1000;ООО «АССУМ»;Россия;296;;;;;;;;;;;;;;;;;;;;;13 773;RUB
3757;Ванна моечная ВМС-П-2/500 (1200х600х850);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/02.png;;html;vanna-moechnaya-vms-p-2-500-1200x600x850;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/02.png;Ванна моечная со сварными раковинами 500х500х300 мм. Каркас выполнен из нержавеющей стали.;850;600;1200;ООО «АССУМ»;Россия;296;;;;;;;;;;;;;;;;;;;;;15 822;RUB
3758;Ванна моечная ВМС-П-2/600 (1400х700х850);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/02.png;;html;vanna-moechnaya-vms-p-2-600-1400x700x850;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/02.png;Ванна моечная со сварными раковинами 600х600х400 мм. Каркас выполнен из нержавеющей стали.;850;700;1400;ООО «АССУМ»;Россия;296;;;;;;;;;;;;;;;;;;;;;19 759;RUB
3759;Ванна моечная ВМС-П-2/700 (1600х800х850);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/02.png;;html;vanna-moechnaya-vms-p-2-700-1600x800x850;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/02.png;Ванна моечная со сварными раковинами 700х700х450 мм. Каркас выполнен из нержавеющей стали.;850;800;1600;ООО «АССУМ»;Россия;296;;;;;;;;;;;;;;;;;;;;;28 733;RUB
3761;Ванна моечная ВМС-П-3/400 (1500х500х850);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/03.png;;html;vanna-moechnaya-vms-p-3-400-1500x500x850;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/03.png;Ванна моечная со сварными раковинами 400х400х300 мм. Каркас выполнен из нержавеющей стали.;850;500;1500;ООО «АССУМ»;Россия;296;;;;;;;;;;;;;;;;;;;;;20 145;RUB
3762;Ванна моечная ВМС-П-3/500 (1800х600х850);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/03.png;;html;vanna-moechnaya-vms-p-3-500-1800x600x850;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/03.png;Ванна моечная со сварными раковинами 500х500х300 мм. Каркас выполнен из нержавеющей стали.;850;600;1800;ООО «АССУМ»;Россия;296;;;;;;;;;;;;;;;;;;;;;23 848;RUB
3763;Ванна моечная ВМС-П-3/600 (2100х700х850);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/03.png;;html;vanna-moechnaya-vms-p-3-600-2100x700x850;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/03.png;Ванна моечная со сварными раковинами 600х600х400 мм. Каркас выполнен из нержавеющей стали.;850;700;2100;ООО «АССУМ»;Россия;296;;;;;;;;;;;;;;;;;;;;;29 169;RUB
3765;Ванна моечная с рабочей поверхностью ВСРП-С-4/10-Л (1000х600х850);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/04.png;;html;vanna-moechnaya-s-rabochej-poverxnostyu-vsrp-s-4-10-l-1000x600x850;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/04.png;Ванна моечная с рабочей поверхностью ВСРП-С-4/10-Л (1000х600х850);850;600;1000;ООО «АССУМ»;Россия;296;;сварная (нержавеющая сталь AISI 430. 1 мм);есть;уголок 40х40 (оцинковая сталь. 1.5 мм);4 стороны (оцинкованная сталь. 0.7 мм);есть;;;;;;;;заглушка для отверстия под смеситель;;;нержавеющая сталь (AISI 430. 1 мм);;;;14 281;RUB
3766;Ванна моечная с рабочей поверхностью ВСРП-С-4/10-П (1000х600х850);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/04.png;;html;vanna-moechnaya-s-rabochej-poverxnostyu-vsrp-s-4-10-p-1000x600x850;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/04.png;Ванна моечная с рабочей поверхностью ВСРП-С-4/10-Л (1000х600х850);850;600;1000;ООО «АССУМ»;Россия;296;;сварная (нержавеющая сталь AISI 430. 1 мм);нет;уголок 40х40 (оцинковая сталь. 1.5 мм);4 стороны (оцинкованная сталь. 0.7 мм);есть;;;;;;;;;;;нержавеющая сталь (AISI 430. 1 мм);;;;14 281;RUB
