IE_XML_ID;IE_NAME;IE_CODE;IP_PROP91;IP_PROP90;IP_PROP71;IP_PROP72;IP_PROP73;IP_PROP74;IP_PROP352;IP_PROP332;IP_PROP346;IP_PROP331;CV_PRICE_1
3628;Стол производственный СПБ-С-8/7 (800х700х850);stol-proizvodstvennyj-spb-s-8-7-800x700x850;3612;heigh850width700depth800;850;700;800;ООО «АССУМ»;;;;;5 490
3629;Стол производственный СПБ-С-9/7 (900х700х850);stol-proizvodstvennyj-spb-s-9-7-900x700x850;3612;heigh850width700depth900;850;700;900;ООО «АССУМ»;;;;;5 766
3630;Стол производственный СПБ-С-10/7 (1000х700х850);stol-proizvodstvennyj-spb-s-10-7-1000x700x850;3612;heigh850width700depth1000;850;700;1000;ООО «АССУМ»;;;;;6 169
3631;Стол производственный СПБ-С-11/7 (1100х700х850);stol-proizvodstvennyj-spb-s-11-7-1100x700x850;3612;heigh850width700depth1100;850;700;1100;ООО «АССУМ»;;;;;6 442
3632;Стол производственный СПБ-С-12/7 (1200х700х850);stol-proizvodstvennyj-spb-s-12-7-1200x700x850;3612;heigh850width700depth1200;850;700;1200;ООО «АССУМ»;;;;;6 893
3633;Стол производственный СПБ-С-13/7 (1300х700х850);stol-proizvodstvennyj-spb-s-13-7-1300x700x850;3612;heigh850width700depth1300;850;700;1300;ООО «АССУМ»;;;;;7 259
3634;Стол производственный СПБ-С-14/7 (1400х700х850);stol-proizvodstvennyj-spb-s-14-7-1400x700x850;3612;heigh850width700depth1400;850;700;1400;ООО «АССУМ»;;;;;7 781
3635;Стол производственный СПБ-С-15/7 (1500х700х850);stol-proizvodstvennyj-spb-s-15-7-1500x700x850;3612;heigh850width700depth1500;850;700;1500;ООО «АССУМ»;;;;;8 021
3636;Стол производственный СПБ-С-16/7 (1600х700х850);stol-proizvodstvennyj-spb-s-16-7-1600x700x850;3612;heigh850width700depth1600;850;700;1600;ООО «АССУМ»;;;;;8 359
3637;Стол производственный СПБ-С-17/7 (1700х700х850);stol-proizvodstvennyj-spb-s-17-7-1700x700x850;3612;heigh850width700depth1700;850;700;1700;ООО «АССУМ»;;;;;8 785
3638;Стол производственный СПБ-С-18/7 (1800х700х850);stol-proizvodstvennyj-spb-s-18-7-1800x700x850;3612;heigh850width700depth1800;850;700;1800;ООО «АССУМ»;;;;;9 163
3639;Стол производственный СПБ-С-6/8 (600х800х850);stol-proizvodstvennyj-spb-s-6-8-600x800x850;3612;heigh850width800depth600;850;800;600;ООО «АССУМ»;;;;;5 315
3640;Стол производственный СПБ-С-7/8 (700х800х850);stol-proizvodstvennyj-spb-s-7-8-700x800x850;3612;heigh850width800depth700;850;800;700;ООО «АССУМ»;;;;;5 677
3641;Стол производственный СПБ-С-8/8 (800х800х850);stol-proizvodstvennyj-spb-s-8-8-800x800x850;3612;heigh850width800depth800;850;800;800;ООО «АССУМ»;;;;;6 201
3642;Стол производственный СПБ-С-9/8 (900х800х850);stol-proizvodstvennyj-spb-s-9-8-900x800x850;3612;heigh850width800depth900;850;800;900;ООО «АССУМ»;;;;;6 572
3643;Стол производственный СПБ-С-10/8 (1000х800х850);stol-proizvodstvennyj-spb-s-10-8-1000x800x850;3612;heigh850width800depth1000;850;800;1000;ООО «АССУМ»;;;;;6 976
3644;Стол производственный СПБ-С-11/8 (1100х800х850);stol-proizvodstvennyj-spb-s-11-8-1100x800x850;3612;heigh850width800depth1100;850;800;1100;ООО «АССУМ»;;;;;7 298
3645;Стол производственный СПБ-С-12/8 (1200х800х850);stol-proizvodstvennyj-spb-s-12-8-1200x800x850;3612;heigh850width800depth1200;850;800;1200;ООО «АССУМ»;;;;;7 860
3646;Стол производственный СПБ-С-13/8 (1300х800х850);stol-proizvodstvennyj-spb-s-13-8-1300x800x850;3612;heigh850width800depth1300;850;800;1300;ООО «АССУМ»;;;;;8 212
3647;Стол производственный СПБ-С-14/8 (1400х800х850);stol-proizvodstvennyj-spb-s-14-8-1400x800x850;3612;heigh850width800depth1400;850;800;1400;ООО «АССУМ»;;;;;8 755
3648;Стол производственный СПБ-С-15/8 (1500х800х850);stol-proizvodstvennyj-spb-s-15-8-1500x800x850;3612;heigh850width800depth1500;850;800;1500;ООО «АССУМ»;;;;;9 109
3649;Стол производственный СПБ-С-16/8 (1600х800х850);stol-proizvodstvennyj-spb-s-16-8-1600x800x850;3612;heigh850width800depth1600;850;800;1600;ООО «АССУМ»;;;;;9 475
3650;Стол производственный СПБ-С-17/8 (1700х800х850);stol-proizvodstvennyj-spb-s-17-8-1700x800x850;3612;heigh850width800depth1700;850;800;1700;ООО «АССУМ»;;;;;10 057
3651;Стол производственный СПБ-С-18/8 (1800х800х850);stol-proizvodstvennyj-spb-s-18-8-1800x800x850;3612;heigh850width800depth1800;850;800;1800;ООО «АССУМ»;;;;;11 952
3653;Стол производственный СП-С-6/6-П (600х600х850);stol-proizvodstvennyj-sp-s-6-6-p-600x600x850;3652;heigh850width600depth600;850;600;600;ООО «АССУМ»;;;;;4 725
3654;Стол производственный СП-С-7/6-П (700х600х850);stol-proizvodstvennyj-sp-s-7-6-p-700x600x850;3652;heigh850width600depth700;850;600;700;ООО «АССУМ»;;;;;4 970
3655;Стол производственный СП-С-8/6-П (800х600х850);stol-proizvodstvennyj-sp-s-8-6-p-800x600x850;3652;heigh850width600depth800;850;600;800;ООО «АССУМ»;;;;;5 376
3656;Стол производственный СП-С-9/6-П (900х600х850);stol-proizvodstvennyj-sp-s-9-6-p-900x600x850;3652;heigh850width600depth900;850;600;900;ООО «АССУМ»;;;;;5 711
3657;Стол производственный СП-С-10/6-П (1000х600х850);stol-proizvodstvennyj-sp-s-10-6-p-1000x600x850;3652;heigh850width600depth1000;850;600;1000;ООО «АССУМ»;;;;;6 062
3658;Стол производственный СП-С-11/6-П (1100х600х850);stol-proizvodstvennyj-sp-s-11-6-p-1100x600x850;3652;heigh850width600depth1100;850;600;1100;ООО «АССУМ»;;;;;6 413
3659;Стол производственный СП-С-12/6-П (1200х600х850);stol-proizvodstvennyj-sp-s-12-6-p-1200x600x850;3652;heigh850width600depth1200;850;600;1200;ООО «АССУМ»;;;;;6 848
