IE_XML_ID;IP_PROP356;IE_CODE;IP_PROP358;IP_PROP90;IP_PROP359;IP_PROP360;IP_PROP361;IP_PROP362;CR_PRICE_1_RUB
3693;Двухсекционный металлический шкаф ШРМ-22У ШРМ-22У;Dvuhsektsionnyj-metallicheskij-shkaf-ShRM-22U-ShRM-22U;3692;heigh1860width600depth500;1860;600;500;;10 789
3694;Двухсекционный металлический шкаф ШРМ-22У ШРМ-22У/800;Dvuhsektsionnyj-metallicheskij-shkaf-ShRM-22U-ShRM-22U/800;3692;heigh1860width800depth500;1860;800;500;;12 970
3696;Металлический шкаф для хранения верхней одежды ШАМ-11.Р;Metallicheskij-shkaf-dlja-hranenija-verhnej-odezhdy-ShAM-11.R;3695;heigh1860width850depth500weight42;1860;850;500;42;14 569
3698;Металлический бухгалтерский шкаф КБС-02т;Metallicheskij-buhgalterskij-shkaf-KBS-02t;3697;heigh320width420depth350weight12;320;420;350;12;5 341
3700;Металлический бухгалтерский шкаф КБС-031т;Metallicheskij-buhgalterskij-shkaf-KBS-031t;3699;heigh1550width470depth390weight47;1550;470;390;47;12 904
3702;Металлический бухгалтерский шкаф КБС-02н;Metallicheskij-buhgalterskij-shkaf-KBS-02n;3701;heigh320width420depth350weight11;320;420;350;11;4 240
3704;Металлический бухгалтерский шкаф КБС-021т;Metallicheskij-buhgalterskij-shkaf-KBS-021t;3703;heigh1300width420depth350weight35;1300;420;350;35;10 193
3706;Металлический бухгалтерский шкаф КБС-021;Metallicheskij-buhgalterskij-shkaf-KBS-021;3705;heigh1300width420depth350weight35;1300;420;350;35;9 598
3708;Металлический бухгалтерский шкаф КБС-021н;Metallicheskij-buhgalterskij-shkaf-KBS-021n;3707;heigh1252width420depth350weight30;1252;420;350;30;8 523
3710;Металлический бухгалтерский шкаф КБС-011тн;Metallicheskij-buhgalterskij-shkaf-KBS-011tn;3709;heigh612width420depth350weight18;612;420;350;18;6 181
3712;Металлический бухгалтерский шкаф КБС-023тн;Metallicheskij-buhgalterskij-shkaf-KBS-023tn;3711;heigh1252width420depth350weight32;1252;420;350;32;10 686
3714;Металлический бухгалтерский шкаф КБС-021тн;Metallicheskij-buhgalterskij-shkaf-KBS-021tn;3713;heigh1252width420depth350weight30;1252;420;350;30;9 048
3716;Металлический бухгалтерский шкаф КБС-02тн;Metallicheskij-buhgalterskij-shkaf-KBS-02tn;3715;heigh320width420depth350weight11;320;420;350;11;4 721
3718;Металлический бухгалтерский шкаф  КБС-10;Metallicheskij-buhgalterskij-shkaf--KBS-10;3717;heigh1850width880depth390weight93;1850;880;390;93;26 995
3720;Металлический бухгалтерский шкаф КБС-09;Metallicheskij-buhgalterskij-shkaf-KBS-09;3719;heigh700width880depth390weight37;700;880;390;37;11 992
3722;Металлический бухгалтерский шкаф КБС-033т;Metallicheskij-buhgalterskij-shkaf-KBS-033t;3721;heigh1550width470depth390weight48;1550;470;390;48;16 092
3724;Металлический бухгалтерский шкаф КБС-033;Metallicheskij-buhgalterskij-shkaf-KBS-033;3723;heigh1550width470depth390weight48;1550;470;390;48;15 513
3726;Металлический бухгалтерский шкаф КБС-032т;Metallicheskij-buhgalterskij-shkaf-KBS-032t;3725;heigh1550width470depth390weight47;1550;470;390;47;14 314
3728;Металлический бухгалтерский шкаф КБС-041т;Metallicheskij-buhgalterskij-shkaf-KBS-041t;3727;heigh960width420depth350weight28;960;420;350;28;8 508
3730;Металлический бухгалтерский шкаф  КБС-042т;Metallicheskij-buhgalterskij-shkaf--KBS-042t;3729;heigh960width420depth350weight30;960;420;350;30;10 838
3732;Металлический бухгалтерский шкаф КБС-06;Metallicheskij-buhgalterskij-shkaf-KBS-06;3731;heigh1850width470depth390weight53;1850;470;390;53;17 711
3734;Металлический бухгалтерский шкаф КБС-05;Metallicheskij-buhgalterskij-shkaf-KBS-05;3733;heigh1850width470depth390weight53;1850;470;390;53;14 271
3736;Двухсекционный металлический шкаф для одежды ШРМ-22 ШРМ-22;Dvuhsektsionnyj-metallicheskij-shkaf-dlja-odezhdy-ShRM-22-ShRM-22;3735;heigh1860width600depth500;1860;600;500;;14 097
3737;Двухсекционный металлический шкаф для одежды ШРМ-22 ШРМ-22/800;Dvuhsektsionnyj-metallicheskij-shkaf-dlja-odezhdy-ShRM-22-ShRM-22/800;3735;heigh1860width800depth500;1860;800;500;;16 513
