IE_XML_ID;IE_NAME;FILE NAME;URL
2668;Трехсекционный металлический шкаф для одежды ШРМ-33;Сертификаты Трехсекционный металлический шкаф для одежды ШРМ-33.pdf;https://paksmet.ru/catalog/sertifikat/NS-2.pdf
2670;Односекционный металлический шкаф для одежды ШРМ-21;Инструкция / паспорт изделия по сборке металлического шкафа Односекционный металлический шкаф для одежды ШРМ-21.pdf;https://paksmet.ru/catalog/pasport/instr_shrm.pdf
2670;Односекционный металлический шкаф для одежды ШРМ-21;Техническое задание Шкаф ШРМ-21 Односекционный металлический шкаф для одежды ШРМ-21.docx;https://paksmet.ru/catalog/tz/SHRM-21.docx
2670;Односекционный металлический шкаф для одежды ШРМ-21;Сертификаты Односекционный металлический шкаф для одежды ШРМ-21.pdf;https://paksmet.ru/catalog/sertifikat/NS-1.pdf
2672;Односекционный металлический шкаф для одежды ШРМ-12;Инструкция / паспорт изделия по сборке металлического шкафа Односекционный металлический шкаф для одежды ШРМ-12.pdf;https://paksmet.ru/catalog/pasport/instr_shrm.pdf
2672;Односекционный металлический шкаф для одежды ШРМ-12;Техническое задание шкафа ШРМ-12 Односекционный металлический шкаф для одежды ШРМ-12.docx;https://paksmet.ru/catalog/tz/SHRM-12.docx
2672;Односекционный металлический шкаф для одежды ШРМ-12;Сертификаты Односекционный металлический шкаф для одежды ШРМ-12.pdf;https://paksmet.ru/catalog/sertifikat/NS-1.pdf
2674;Двухсекционный металлический шкаф для одежды ШРМ-24;Инструкция / паспорт изделия по сборке металлического шкафа Двухсекционный металлический шкаф для одежды ШРМ-24.pdf;https://paksmet.ru/catalog/pasport/pasport_24.pdf
2674;Двухсекционный металлический шкаф для одежды ШРМ-24;Техническое задание шкафа ШРМ-24 Двухсекционный металлический шкаф для одежды ШРМ-24.docx;https://paksmet.ru/catalog/tz/SHRM-24.docx
2674;Двухсекционный металлический шкаф для одежды ШРМ-24;Сертификаты Двухсекционный металлический шкаф для одежды ШРМ-24.pdf;https://paksmet.ru/catalog/sertifikat/NS-1.pdf
2676;Двухсекционный металлический шкаф для одежды ШРМ-22;Инструкция / паспорт изделия по сборке металлического шкафа Двухсекционный металлический шкаф для одежды ШРМ-22.pdf;https://paksmet.ru/catalog/pasport/shrm-22.pdf
2676;Двухсекционный металлический шкаф для одежды ШРМ-22;Техническое задание Шкаф ШРМ-22 Двухсекционный металлический шкаф для одежды ШРМ-22.docx;https://paksmet.ru/catalog/tz/SHRM-22.docx
2676;Двухсекционный металлический шкаф для одежды ШРМ-22;Техническое задание Шкаф ШРМ-22/800 Двухсекционный металлический шкаф для одежды ШРМ-22.docx;https://paksmet.ru/catalog/tz/SHRM-22-800.docx
2676;Двухсекционный металлический шкаф для одежды ШРМ-22;Сертификаты Двухсекционный металлический шкаф для одежды ШРМ-22.pdf;https://paksmet.ru/catalog/sertifikat/NS-1.pdf
